Wall time,Step,Value
1702081615.101174,100,1.1815030574798584
1702081762.839374,200,1.0795460939407349
1702081832.618359,300,0.7806825041770935
1702081902.389266,400,0.7180275917053223
1702081972.020391,500,0.5758434534072876
1702082049.871653,600,0.6776074767112732
1702082176.71502,700,0.6990135312080383
1702082248.025573,800,0.5426972508430481
1702082317.880465,900,0.5930387377738953
1702082387.609805,1000,0.6917003393173218
1702082519.083884,1100,0.6780059337615967
1702082592.8196,1200,0.517371416091919
1702082662.413679,1300,0.6104856729507446
1702082731.960698,1400,0.639198362827301
1702082801.657215,1500,0.6140711903572083
1702082871.301343,1600,0.5809255242347717
1702082940.931423,1700,0.6138787865638733
1702083010.561517,1800,0.50223708152771
1702083080.223396,1900,0.6144120097160339
1702083149.992088,2000,0.6279129981994629
1702083280.121223,2100,0.5477777123451233
1702083349.76231,2200,0.3897895812988281
1702083419.402567,2300,0.3864418566226959
1702083489.071208,2400,0.5627906322479248
1702083558.775965,2500,0.5265561938285828
1702083628.482456,2600,0.49761512875556946
1702083698.103293,2700,0.38685211539268494
1702083767.769595,2800,0.4299635887145996
1702083837.424058,2900,0.7269461750984192
1702083907.09245,3000,0.5174438953399658
1702084036.930703,3100,0.5071342587471008
1702084106.511596,3200,0.43731689453125
1702084176.120256,3300,0.49677175283432007
1702084245.803155,3400,0.5314361453056335
1702084315.58628,3500,0.34036868810653687
1702084385.236683,3600,0.5116993188858032
1702084454.940767,3700,0.3838064968585968
1702084524.594527,3800,1.107003927230835
1702084594.348514,3900,0.547934889793396
1702084664.051727,4000,0.7733268141746521
1702084794.294416,4100,0.5945491790771484
1702084863.972445,4200,0.5325301289558411
1702085074.354632,4300,0.5536383390426636
1702085144.273732,4400,0.4627476632595062
1702085214.071308,4500,0.40511417388916016
1702085283.757774,4600,0.7013842463493347
1702085353.560195,4700,0.3609244227409363
1702085423.324744,4800,0.41465461254119873
1702085492.974743,4900,0.4283496141433716
1702085562.697622,5000,0.4041268229484558
1702085694.052782,5100,0.3217221200466156
1702085763.695389,5200,0.46434035897254944
1702085833.286834,5300,0.529029369354248
1702085902.891966,5400,0.5056039690971375
1702085972.638198,5500,0.4920235276222229
1702086042.264531,5600,0.5081706047058105
1702086111.916559,5700,0.3743617534637451
1702086181.637896,5800,0.4430018663406372
1702086251.33594,5900,0.45257675647735596
1702086321.029544,6000,0.5173607468605042
1702086451.18824,6100,0.30008041858673096
1702086520.858755,6200,0.49891650676727295
1702086590.506397,6300,0.5080101490020752
1702086660.208838,6400,0.30651408433914185
1702086729.866225,6500,0.404076486825943
1702086799.485991,6600,0.5122182965278625
1702086869.144695,6700,0.352237731218338
1702086938.781099,6800,0.38915708661079407
1702087008.389995,6900,0.5934755206108093
1702087078.084931,7000,0.4192030727863312
1702087208.65739,7100,0.352851539850235
1702087278.294301,7200,0.35257411003112793
1702087348.228849,7300,0.24104000627994537
1702087417.865566,7400,0.5156716704368591
1702087487.597752,7500,0.380815714597702
1702087557.952045,7600,0.3233785629272461
1702087627.639967,7700,0.4893663227558136
1702087697.438668,7800,0.38065412640571594
1702087767.226814,7900,0.3476219177246094
1702087836.872533,8000,0.4589410722255707
